model_source,emotion_or_group,layer,cosine,ci_low,ci_high,q_value,null_p95
aligned,angry,24,0.2613072395324707,0.2144263535737991,0.2829996041953563,0.0275545350172215,0.1574682921171188
aligned,angry,32,0.279626190662384,0.2399838011711836,0.2921751864254475,0.0362743245796334,0.1709177739918232
aligned,anxious,24,0.0479851812124252,-0.0194005539640784,0.0941513631492853,0.4074414656574945,0.1340128302574157
aligned,anxious,32,0.0813285261392593,-0.0146132780471816,0.1466398045420646,0.3867777676036992,0.1620685935020444
aligned,furious,24,0.3057767152786255,0.2602302245795727,0.3182454027235508,0.0275545350172215,0.1448761522769926
aligned,furious,32,0.3186754882335663,0.277210009843111,0.3271660797297954,0.0275545350172215,0.1433574751019477
aligned,gloomy,24,0.041590467095375,-0.0177353342063724,0.0915261592715978,0.4261451363870303,0.1500400356948374
aligned,gloomy,32,0.0362756475806236,-0.032919474504888,0.1115830089896917,0.4386232104782211,0.1722791694104669
aligned,miserable,24,0.0353401452302932,-0.022516158921644,0.0878632117062807,0.4261451363870303,0.1525667682290076
aligned,miserable,32,0.0276858918368816,-0.053139990568161,0.1014918984845281,0.4645522388059702,0.1651029296219348
aligned,sad,24,0.0698643401265144,-0.0008939585808548,0.1300343353301286,0.3808804080861515,0.1311058208346366
aligned,sad,32,0.0584072992205619,-0.0152529695071279,0.1233612826094031,0.398830589321434,0.1353589415550231
